timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1652786542685,112,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-20,true,,21,21,null,58,1,0,1018,23
1652786544717,110,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-21,true,,22,22,https://www.bol.com/nl/nl/,69,1,0,0,23
1652786543701,110,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-21,true,,22,22,null,69,1,0,1017,23
1652786545700,99,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-22,true,,23,23,https://www.bol.com/nl/nl/,61,1,0,0,22
1652786544687,99,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-22,true,,23,23,null,61,1,0,1015,22
1652786546704,133,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-23,true,,24,24,https://www.bol.com/nl/nl/,62,1,0,0,20
1652786545700,133,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-23,true,,24,24,null,62,1,0,1006,20
1652786547701,104,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-24,true,,25,25,https://www.bol.com/nl/nl/,64,1,0,0,32
1652786546686,104,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-24,true,,25,25,null,64,1,0,1017,32
1652786548700,108,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-25,true,,26,26,https://www.bol.com/nl/nl/,65,1,0,0,25
1652786547686,108,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-25,true,,26,26,null,65,1,0,1016,25
1652786549698,122,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-26,true,,27,27,https://www.bol.com/nl/nl/,81,1,0,0,23
1652786548685,122,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-26,true,,27,27,null,81,1,0,1016,23
