timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652786525725,106,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-2,text,true,,87716,846,3,3,https://www.bol.com/nl/nl/,75,0,33
1652786524804,666,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-1,text,true,,87717,846,2,2,https://www.bol.com/nl/nl/,629,0,586
1652786524715,106,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-2,,true,,87716,846,3,3,null,75,1197,33
1652786523733,666,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-1,,true,,87717,846,2,2,null,629,1619,586
1652786526726,99,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-3,text,true,,87711,846,4,4,https://www.bol.com/nl/nl/,63,0,26
1652786525715,99,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-3,,true,,87711,846,4,4,null,63,1015,26
1652786527723,99,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-4,text,true,,87714,846,5,5,https://www.bol.com/nl/nl/,64,0,22
1652786526709,99,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-4,,true,,87714,846,5,5,null,64,1018,22
1652786528718,95,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-5,text,true,,87821,846,6,6,https://www.bol.com/nl/nl/,63,0,24
1652786527711,95,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-5,,true,,87821,846,6,6,null,63,1010,24
1652786529718,106,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-6,text,true,,87776,846,7,7,https://www.bol.com/nl/nl/,57,0,24
1652786528709,106,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-6,,true,,87776,846,7,7,null,57,1012,24
1652786530715,95,https//www.bol.com/nl/nl/,200,200,Bol-prod - 20220517-1322 1-7,text,true,,87712,846,8,8,https://www.bol.com/nl/nl/,60,0,22
1652786529706,95,01 - Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Bol-prod - 20220517-1322 1-7,,true,,87712,846,8,8,null,60,1013,22
