timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652793771177,974,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-40,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,955
1652793770779,1355,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-12,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,1327
1652793772731,66,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-144,text,false,Test failed: text expected to contain /Shop de look/,2865,0,148,148,https://www.bol.com/nl/nl/,0,0,59
1652793771938,204,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-85,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,170
1652793771449,758,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-58,text,false,Test failed: text expected to contain /Shop de look/,2865,0,108,108,https://www.bol.com/nl/nl/,0,0,720
1652793771276,875,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-47,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,855
1652793770808,1448,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-14,text,false,Test failed: text expected to contain /Shop de look/,2865,0,111,111,https://www.bol.com/nl/nl/,0,0,1437
1652793772070,175,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-99,text,false,Test failed: text expected to contain /Shop de look/,2865,0,110,110,https://www.bol.com/nl/nl/,0,0,153
1652793771682,460,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-71,text,false,Test failed: text expected to contain /Shop de look/,2865,0,101,101,https://www.bol.com/nl/nl/,0,0,431
1652793772791,85,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-148,text,false,Test failed: text expected to contain /Shop de look/,2865,0,153,153,https://www.bol.com/nl/nl/,0,0,76
1652793771789,416,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-80,text,false,Test failed: text expected to contain /Shop de look/,2865,0,108,108,https://www.bol.com/nl/nl/,0,0,394
1652793771426,727,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-57,text,false,Test failed: text expected to contain /Shop de look/,2865,0,101,101,https://www.bol.com/nl/nl/,0,0,707
1652793772252,44,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-112,text,false,Test failed: text expected to contain /Shop de look/,2865,0,115,115,https://www.bol.com/nl/nl/,0,0,39
1652793771366,776,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-53,text,false,Test failed: text expected to contain /Shop de look/,2865,0,100,100,https://www.bol.com/nl/nl/,0,0,743
1652793772158,110,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-105,text,false,Test failed: text expected to contain /Shop de look/,2865,0,113,113,https://www.bol.com/nl/nl/,0,0,105
1652793772832,135,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-150,text,false,Test failed: text expected to contain /Shop de look/,2865,0,159,159,https://www.bol.com/nl/nl/,0,0,126
1652793771936,282,https//www.bol.com/nl/nl/,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Bol-prod-20220517-1522 1-86,text,false,Test failed: text expected to contain /Shop de look/,2865,0,109,109,https://www.bol.com/nl/nl/,0,0,272
